reference,direction,angle_deg,rmse_d,jod_rmse,psnr_d,jod_psnr,ssim_d,jod_ssim,ssim,ms_ssim_d,jod_ms_ssim,iw_ssim_d,jod_iw_ssim,vif_d,jod_vif,fsim_d,jod_fsim,srsim_d,jod_srsim,gmsd_d,jod_gmsd,ms_gmsd_d,jod_ms_gmsd,vsi_d,jod_vsi,mdsi_d,jod_mdsi,haarpsi_d,jod_haarpsi,dss_d,jod_dss,lpips_d,jod_lpips,dists_d,jod_dists,pieapp_d,jod_pieapp
I13,counter_clockwise,4.0,39.66109442373813,3.14181241760902,0.06186775997591787,3.0754227248695982,0.8690857291221619,3.069160717957696,0.13091427087783813,0.5345576405525208,2.676426319125432,0.6655325293540955,2.5764478262915667,0.9721878170967102,2.8100816323058546,0.3093739151954651,2.834380433217575,0.16208100318908691,2.6412603713247336,0.20280712842941284,2.6887842478394206,0.21304702758789062,2.7508473552325237,0.1045425534248352,2.7272902856143446,0.45602303743362427,2.719644430924881,0.5595794916152954,3.1689713373712003,0.5298670530319214,2.571327308959553,0.32051175832748413,1.5138668801546027,0.09130680561065674,0.9177262276874296,0.39478373527526855,0.7427147868943328
I13,counter_clockwise,4.2,39.864376235369484,3.1474781272013805,0.06203819358820653,3.0800448528500284,0.8700622916221619,3.0700093029167475,0.12993770837783813,0.5416364669799805,2.676725595570078,0.6747543811798096,2.5764478549963448,0.9735698103904724,2.81204810317748,0.3118874430656433,2.8347737307196894,0.1655011773109436,2.6414223541501087,0.20455823838710785,2.6911815561306605,0.2148408591747284,2.752956358774007,0.10569256544113159,2.727911318689621,0.45675522089004517,2.7219721597805715,0.5618431568145752,3.173560323812275,0.541711151599884,2.5780013837841125,0.32626569271087646,1.5476447706027205,0.0921173095703125,0.9274514085014829,0.4485389292240143,0.8542208808428381
I13,counter_clockwise,4.4,40.016721282205694,3.151676666471091,0.06216596736751516,3.0834611938370444,0.871187150478363,3.070983249481748,0.12881284952163696,0.5478188991546631,2.676964094660617,0.6829626560211182,2.5764478754093387,0.9748410582542419,2.8138389996786684,0.31439876556396484,2.835148669327282,0.16843891143798828,2.6415417019383085,0.20563781261444092,2.6926164367212366,0.2162373960018158,2.754537440470732,0.10682427883148193,2.728486764723584,0.45759910345077515,2.7246267270702225,0.5628567934036255,3.1756034812640515,0.5587413311004639,2.5867774540231494,0.3326451778411865,1.5849692297619349,0.08975207805633545,0.8992018773060806,0.5429712533950806,1.053477427521731
I13,counter_clockwise,4.6,40.19849653073739,3.156633575688306,0.062318473826889986,3.087484676964085,0.8733415603637695,3.0728382052652643,0.12665843963623047,0.5552047491073608,2.677223582433065,0.6922844648361206,2.576447893925887,0.976056694984436,2.815535558284999,0.316081702709198,2.835390266915738,0.17131108045578003,2.6416431483430642,0.20649728178977966,2.693735861336189,0.21705302596092224,2.755436968789952,0.10809028148651123,2.729091058252834,0.45886459946632385,2.7285513981594063,0.5660788416862488,3.1820502401574053,0.5722820162773132,2.5931226919201436,0.3384152054786682,1.6185886008817547,0.09718871116638184,0.9892901271216741,0.5388199687004089,1.0446951414155365
I13,counter_clockwise,4.8,40.39847986615857,3.162021423097749,0.062486323727325994,3.0918456693416263,0.8745325803756714,3.073857831393595,0.1254674196243286,0.5627304315567017,2.677462128352307,0.7006966471672058,2.5764479072246083,0.9772119522094727,2.8171334711291425,0.3176387548446655,2.8356071294629146,0.1751875877380371,2.641759607807444,0.20702308416366577,2.694410851681266,0.21746745705604553,2.755887417315466,0.10912346839904785,2.729555170518779,0.4589192569255829,2.728719401249777,0.568435549736023,3.1867198551956015,0.5726155042648315,2.593272336826203,0.34122881293296814,1.6349269849360122,0.09334015846252441,0.9422098108924649,0.552298903465271,1.073201711308263
I13,counter_clockwise,5.0,40.62021769227534,3.1679159561303836,0.06267251623539824,3.0966018788391545,0.8749393224716187,3.074205091310448,0.12506067752838135,0.5693248510360718,2.677651724023007,0.7083971500396729,2.576447917118455,0.9782321453094482,2.8185330004456595,0.3186136484146118,2.835739734570552,0.17935097217559814,2.641862693218627,0.20865598320960999,2.696460377289276,0.21863241493701935,2.757130190122197,0.1100168228149414,2.72993657135612,0.4592713415622711,2.7297986501056095,0.5687820911407471,3.1874032585335286,0.5734607577323914,2.593650240022498,0.3455629348754883,1.660016097615997,0.09556102752685547,0.9692653936282868,0.5266937613487244,1.0190338885314154
I13,counter_clockwise,5.2,40.85658519744116,3.174108591371147,0.06287109092773256,3.101581521180909,0.8761182427406311,3.075208881216801,0.1238817572593689,0.5753667950630188,2.6778109157963277,0.7161315083503723,2.576447925268144,0.9790834188461304,2.8196925514738918,0.3198782801628113,2.8359081912242345,0.18054646253585815,2.6418886700982966,0.20924219489097595,2.697179249734375,0.21933797001838684,2.7578663616345533,0.11073344945907593,2.730229789356599,0.45951613783836365,2.7305460043620737,0.5694084167480469,3.18863631641036,0.5743614435195923,2.5940507506315953,0.34855425357818604,1.6772720243867612,0.09677594900131226,0.984197035197024,0.4999932050704956,0.9625477876185292
I13,counter_clockwise,5.4,41.084023449861576,3.179979984629999,0.06306226822838061,3.1062865317054587,0.8774464130401611,3.076334911739237,0.12255358695983887,0.5807350873947144,2.6779416362511643,0.7235287427902222,2.576447931684406,0.9798495769500732,2.8207297828754045,0.3212507367134094,2.8360865641759574,0.1803368330001831,2.6418842225034496,0.2103303074836731,2.698490453309516,0.22012130916118622,2.758669396435206,0.11132460832595825,2.7304634631882436,0.4598228633403778,2.731478938892396,0.5703555345535278,3.190495800459299,0.5740625858306885,2.5939181048092905,0.3528240919113159,1.701811449742196,0.09543853998184204,0.9677650138718703,0.5179808139801025,1.0005945490364536
I13,counter_clockwise,5.6,41.29442921060603,3.185336419011519,0.06323921495215276,3.1105646245324112,0.8783456087112427,3.077094355461006,0.12165439128875732,0.5852882862091064,2.678045161939939,0.7304332852363586,2.576447936666951,0.9805445075035095,2.821665383640417,0.3220667243003845,2.8361904677237817,0.18060076236724854,2.6418898148449443,0.2110256403684616,2.699312842144631,0.22069691121578217,2.7592500348103624,0.11209619045257568,2.730757693384021,0.46036964654922485,2.7331324502126764,0.5719648599624634,3.1936413079711343,0.5802551507949829,2.596616984809316,0.358054518699646,1.7317126029108152,0.10013753175735474,1.0259564750323815,0.5819574594497681,1.1357726921740472
I13,counter_clockwise,5.8,41.50220529602727,3.1905558070855564,0.06341403941315694,3.1147200949623417,0.879372239112854,3.0779585755847734,0.120627760887146,0.5897115468978882,2.6781396886264366,0.7378544807434082,2.5764479411228214,0.9812111854553223,2.8225583177082445,0.3228498101234436,2.836288703648961,0.18291717767715454,2.641935963569381,0.21186862885951996,2.7002939419135266,0.22148048877716064,2.760027831688131,0.11283904314041138,2.731029872265026,0.4608369767665863,2.7345360082159584,0.5743933916091919,3.1983545837691914,0.5855511426925659,2.5988442414557085,0.36245858669281006,1.7567430425408481,0.10084080696105957,1.0347699562198274,0.560394287109375,1.0903063835013853
