reference,direction,shift_px,ssim,ssim_distance_d,predicted_jod
I01,up,90,0.12118819140774362,0.8788118085922564,3.0774944133222384
I01,up,91,0.11959583812318361,0.8804041618768164,3.078831455339972
I01,up,92,0.11650695967652118,0.8834930403234789,3.081404378535823
I01,up,93,0.11586985604588065,0.8841301439541194,3.0819316838129476
I01,up,94,0.12727828968006868,0.8727217103199313,3.072313040973059
I01,up,95,0.13723889429369526,0.8627611057063047,3.0636028986085053
I01,up,96,0.13331995804954308,0.8666800419504569,3.067065214941027
I01,up,97,0.12150861540166674,0.8784913845983333,3.077224482842257
I01,up,98,0.11517506497974606,0.8848249350202539,3.082505423658226
I01,up,99,0.11136036461070671,0.8886396353892932,3.085631262179052
I01,up,100,0.11317987180581703,0.886820128194183,3.0841454237914068
I01,down,1,0.5325110204082673,0.46748897959173275,2.355355535929748
I01,down,2,0.22148271604546443,0.7785172839545356,2.9769250390318707
I01,down,3,0.23951291271095224,0.7604870872890478,2.9549870857555174
I01,down,4,0.23148811679692086,0.7685118832030792,2.964912682101759
I01,down,5,0.2200606129010068,0.7799393870989932,2.9786003134141383
I01,down,6,0.2101644796925968,0.7898355203074032,2.9900416526466973
I01,down,7,0.21802813032322663,0.7819718696767733,2.9809809499338344
I01,down,8,0.21196562474481037,0.7880343752551896,2.98798719999321
I01,down,9,0.21292563062563666,0.7870743693743634,2.986887140191662
I01,down,10,0.20605099911171373,0.7939490008882862,2.9946876796850947
I01,down,11,0.20210433057943045,0.7978956694205696,2.999085789466668
I01,down,12,0.19749492943299826,0.8025050705670017,3.0041495840467656
I01,down,13,0.19876962760757103,0.801230372392429,3.002757022059069
I01,down,14,0.20204242751244034,0.7979575724875596,2.9991543128679927
I01,down,15,0.18414373646691792,0.815856263533082,3.018383531599678
I01,down,16,0.18092204351386248,0.8190779564861375,3.0217237680838718
I01,down,17,0.175661628443838,0.824338371556162,3.0271005217650115
I01,down,18,0.16627495494308245,0.8337250450569176,3.036461120713259
I01,down,19,0.18854970985964026,0.8114502901403597,3.0137565130140596
I01,down,20,0.24131130159170538,0.7586886984082946,2.952726486418994
I01,down,21,0.23187898402126383,0.7681210159787362,2.9644352962156555
I01,down,22,0.17489271781105395,0.825107282188946,3.0278784891831343
I01,down,23,0.15940303405187484,0.8405969659481252,3.043128186619005
I01,down,24,0.15568431134823035,0.8443156886517696,3.04667189989848
I01,down,25,0.16347229651428313,0.8365277034857168,3.039198957011366
I01,down,26,0.16715766057035622,0.8328423394296438,3.035593446904631
I01,down,27,0.17274288259047002,0.82725711740953,3.030042977815312
I01,down,28,0.17502246015276218,0.8249775398472379,3.0277473599682585
I01,down,29,0.1671616788371003,0.8328383211628997,3.0355894911464913
I01,down,30,0.16885593242567964,0.8311440675743204,3.0339168007602515
I01,down,31,0.16442558575781863,0.8355744142421814,3.038270625914568
I01,down,32,0.16066049581169345,0.8393395041883065,3.041919769263303
I01,down,33,0.15964708807404906,0.840352911925951,3.0428940535457265
I01,down,34,0.16596272193629932,0.8340372780637006,3.0367674175429036
I01,down,35,0.16389606379966162,0.8361039362003384,3.0387866538611696
I01,down,36,0.15570685464741346,0.8442931453525866,3.0466505517831424
I01,down,37,0.15594094619184948,0.8440590538081505,3.046428774676045
I01,down,38,0.15840717517237152,0.8415928248276285,3.0440815599570668
I01,down,39,0.17169528747958177,0.8283047125204183,3.0310920411009032
I01,down,40,0.18759040393027565,0.8124095960697244,3.014769783202399
I01,down,41,0.1893968736853842,0.8106031263146158,3.0128589775833
I01,down,42,0.18103304296567568,0.8189669570343243,3.021609285182545
I01,down,43,0.1588402832669684,0.8411597167330316,3.043667324303928
I01,down,44,0.13937194584623883,0.8606280541537612,3.061698854568321
I01,down,45,0.13911183510535488,0.8608881648946451,3.0619317808503297
I01,down,46,0.14564341661612512,0.8543565833838749,3.056019933910612
I01,down,47,0.14821382098938948,0.8517861790106105,3.053657166085153
I01,down,48,0.14924548584966385,0.8507545141503361,3.0527030200704095
I01,down,49,0.14871984114310935,0.8512801588568907,3.053189585878215
I01,down,50,0.14618187398839697,0.853818126011603,3.0555266807185744
I01,down,51,0.14384110531597305,0.856158894684027,3.057664383833864
I01,down,52,0.14420157196352826,0.8557984280364718,3.0573362957404333
I01,down,53,0.15042492301546434,0.8495750769845356,3.051608101612298
