reference,direction,shift_px,rmse_d,jod_rmse,psnr_d,jod_psnr,ssim_d,jod_ssim,ssim,ms_ssim_d,jod_ms_ssim,iw_ssim_d,jod_iw_ssim,vif_d,jod_vif,fsim_d,jod_fsim,srsim_d,jod_srsim,gmsd_d,jod_gmsd,ms_gmsd_d,jod_ms_gmsd,vsi_d,jod_vsi,mdsi_d,jod_mdsi,haarpsi_d,jod_haarpsi,dss_d,jod_dss,lpips_d,jod_lpips,dists_d,jod_dists,pieapp_d,jod_pieapp
I04,down,78,42.53771194641486,3.2155581310621324,0.06428668865396128,3.134438495615709,0.5754307508468628,2.638818904674534,0.4245692491531372,0.731665849685669,2.679428945721071,0.8612616658210754,2.5764479614395306,0.981787383556366,2.8233264279266006,0.3061583638191223,2.833849604685838,0.24060434103012085,2.6423026861684775,0.23993678390979767,2.7247547303903903,0.2534748613834381,2.782042135765532,0.1108352541923523,2.7302705520974087,0.4795631468296051,2.783964960407968,0.6768544912338257,3.3645422084579053,0.8049366474151611,2.6484179467611284,0.5801371932029724,2.7011753480209264,0.164681077003479,1.826317125079743,2.441063404083252,2.5741417751384894
I04,down,79,42.63336243447451,3.2177849360682726,0.06436741757976654,3.136179174347515,0.5765653848648071,2.641357677101661,0.42343461513519287,0.7309819459915161,2.6794269415676544,0.8646593689918518,2.5764479615138987,0.9818117022514343,2.8233587723918947,0.3065308928489685,2.833912747687691,0.24249786138534546,2.642304804230889,0.23945854604244232,2.724447587245493,0.2531069219112396,2.7818728680949665,0.11107403039932251,2.7303653037320146,0.48001429438591003,2.7850040883553113,0.6747723817825317,3.3617316143045386,0.8065896034240723,2.6485922721524275,0.5824863910675049,2.70774445924247,0.16702795028686523,1.851003106868297,2.432659864425659,2.5737285932373495
I04,down,80,42.7201210682885,3.2197929267484815,0.0644406617960391,3.137746595423607,0.5758192539215088,2.6396891497615806,0.4241807460784912,0.7440948486328125,2.67946225492405,0.8548402786254883,2.5764479612799533,0.981802761554718,2.8233468817398286,0.30652087926864624,2.8339110561435064,0.2443552017211914,2.6423067023717977,0.2399694323539734,2.724775585557436,0.25362473726272583,2.782110657697074,0.11127692461013794,2.7304448837844575,0.48020538687705994,2.7854422451713914,0.67713463306427,3.364918773386055,0.8081260919570923,2.6487527185065574,0.5818585157394409,2.7059958928181906,0.1678534746170044,1.859561052985,2.4498648643493652,2.5745647422212654
I04,down,81,42.80698812916481,3.2217922346696968,0.06451401335383276,3.1393050682464936,0.576184093952179,2.6405054796348235,0.42381590604782104,0.7427657842636108,2.6794589599961354,0.8590517044067383,2.576447961387556,0.9816311001777649,2.823118424346992,0.3061458468437195,2.8338474754425533,0.24137192964553833,2.642303568123566,0.23934777081012726,2.7243759992940064,0.2530879080295563,2.781864080226476,0.11125892400741577,2.7304378578965043,0.4803957939147949,2.78587765862632,0.6739670634269714,3.360638917000518,0.8056958913803101,2.6484982408724136,0.5833191871643066,2.7100556557316073,0.17022836208343506,1.8838106765912324,2.43542742729187,2.5738656877951005
I04,down,82,42.89480078070395,3.2238019817901735,0.06458818453893723,3.1408695858202074,0.5779252052307129,2.644389097871036,0.4220747947692871,0.7414317727088928,2.67945559139927,0.8636553287506104,2.576447961492595,0.9816787242889404,2.8231818353074662,0.305774450302124,2.8337840707076793,0.2408769726753235,2.6423030031609187,0.23988008499145508,2.724718478062901,0.25330713391304016,2.7819651594123895,0.11137241125106812,2.7304820421800287,0.4806811809539795,2.7865280835180335,0.6764869689941406,3.364047615657853,0.8069052696228027,2.6486253602952274,0.584755539894104,2.714020336964884,0.1701468825340271,1.8829878739607362,2.435421943664551,2.5738654171524975
I04,down,83,42.97871407424743,3.2257119009888244,0.06465906945292835,3.1423541687303564,0.579281747341156,2.647401064454259,0.420718252658844,0.7404628992080688,2.679453105620323,0.8685149550437927,2.5764479615907847,0.9819421768188477,2.8235322046603297,0.30515193939208984,2.8336768043698157,0.2412567138671875,2.6423034378118473,0.2386273890733719,2.7239063467537776,0.25252416729927063,2.781601699354308,0.11132663488388062,2.7304642517774482,0.48048001527786255,2.786069879540906,0.6731268167495728,3.3594954737961054,0.8087996244430542,2.648822570563425,0.5866934061050415,2.719326304477212,0.1726745367050171,1.9082058753262583,2.4281232357025146,2.573501674034488
I04,down,84,43.04919699071214,3.2273081814630133,0.06471863598680465,3.1435937293271654,0.5787551403045654,2.6462332631481242,0.42124485969543457,0.7412407398223877,2.6794551039079906,0.8723760843276978,2.576447961660513,0.9820569157600403,2.8236845782818083,0.30460286140441895,2.8335811506879054,0.2409268617630005,2.642303060718291,0.23915252089500427,2.7242494114038878,0.2530216574668884,2.7818334290817592,0.11118078231811523,2.73040728062324,0.48046499490737915,2.786035614819396,0.6752722263336182,3.362408250728812,0.808361291885376,2.648777144280075,0.5861034393310547,2.7177161659189104,0.17399895191192627,1.9211641598657347,2.41750168800354,2.572959572864552
I04,down,85,43.10679574533515,3.228607294225875,0.06476731319134559,3.144601307055875,0.5778073072433472,2.644126753352956,0.42219269275665283,0.7377839088439941,2.6794460565464604,0.8767266273498535,2.576447961731219,0.9822396636009216,2.823926993406914,0.3042452335357666,2.8335183194926685,0.23822110891342163,2.6422997305468243,0.2379963994026184,2.723489061078585,0.2521011531352997,2.7814024725752793,0.11124873161315918,2.730433876702591,0.4808264970779419,2.7868582689732753,0.6723020076751709,3.3583696986330267,0.8070787191390991,2.648643513702609,0.5875363945960999,2.721619084430015,0.17524540424346924,1.93319789246202,2.409547805786133,2.5725434933110485
I04,down,86,43.1555986528433,3.229704254038155,0.06480856437029615,3.1454514014132413,0.5761831998825073,2.6405034802300724,0.4238168001174927,0.7348343133926392,2.6794379876364056,0.880682110786438,2.5764479617889924,0.9826362133026123,2.824451858686261,0.30433666706085205,2.83353442329053,0.23688364028930664,2.6422979170636154,0.23835785686969757,2.723728780054755,0.25216448307037354,2.781432427899551,0.11113590002059937,2.7303896608491414,0.48085659742355347,2.786926578045441,0.6743910312652588,3.3612145698911036,0.8062434792518616,2.64855591681453,0.5876153707504272,2.7218334097399284,0.1766951084136963,1.9469954241740357,2.404402494430542,2.572269616368498
I04,down,87,43.20064654919552,3.230713753540271,0.06484665573207217,3.146233318455653,0.5781707167625427,2.6449351117299207,0.4218292832374573,0.7341173887252808,2.679435976240674,0.8844632506370544,2.5764479618389897,0.9829991459846497,2.8249308423284405,0.30426710844039917,2.833522174729751,0.24034368991851807,2.6423023791894593,0.23717834055423737,2.7229397187446955,0.25135883688926697,2.781047939487821,0.11117786169052124,2.7304061353202087,0.48071613907814026,2.786607576738555,0.6716272830963135,3.3574463053129406,0.8069795966148376,2.6486331418288955,0.589792013168335,2.727708379999215,0.17796897888183594,1.9589424135758187,2.4129369258880615,2.572721858161264
I04,down,88,43.235403157817686,3.2314906298115043,0.06487604036983283,3.146834507516149,0.579203724861145,2.647228157243762,0.420796275138855,0.737713098526001,2.679445866665101,0.8788808584213257,2.576447961763411,0.9830921292304993,2.825053344902964,0.30412256717681885,2.833496671546527,0.23975276947021484,2.6423016688011103,0.2375095784664154,2.7231632953379967,0.25182247161865234,2.7812701128861663,0.11100548505783081,2.730338225480864,0.4810604751110077,2.787388490975384,0.6740977764129639,3.360816488715674,0.808089554309845,2.648748920830485,0.589301586151123,2.726390050241456,0.18080103397369385,1.9849062623428992,2.4127509593963623,2.57271211255297
I04,down,89,43.26467804921212,3.232143629960796,0.06490079161467037,3.1473395516917884,0.5803105235099792,2.6496772167276506,0.41968947649002075,0.7356802225112915,2.679440335429275,0.8812919855117798,2.5764479617973874,0.982970118522644,2.824892581764428,0.30378293991088867,2.8334364753061436,0.23722922801971436,2.642298396897786,0.23677466809749603,2.722665128309561,0.25120046734809875,2.7809714809702513,0.11085128784179688,2.7302769520561014,0.4811583459377289,2.7876097592743165,0.670974850654602,3.3565513032039256,0.8053940534591675,2.6484663652006475,0.5910844802856445,2.7311677504490457,0.18200302124023438,1.9956762224140654,2.3975415229797363,2.5718985498858586
I04,down,90,43.28681959976876,3.232636697090821,0.06491951214030711,3.1477207227358357,0.5793744921684265,2.647606546108638,0.4206255078315735,0.7322068810462952,2.6794305178311806,0.8828359246253967,2.576447961818066,0.9829534888267517,2.8248706586566352,0.3036993741989136,2.8334216053171986,0.23658978939056396,2.642297502734209,0.23765389621257782,2.7232602178681247,0.2517940402030945,2.781256559581033,0.11101359128952026,2.7303414328866893,0.4814944863319397,2.788367389032447,0.6740572452545166,3.3607614365808907,0.806555449962616,2.648588688296968,0.591958224773407,2.7334941390159493,0.1850135326385498,2.0219960855819243,2.3865809440612793,2.571291565658354
I04,down,91,43.30866642170192,3.233122511377787,0.06493799412931243,3.1480963474574266,0.580569863319397,2.6502499062293055,0.419430136680603,0.7291646599769592,2.679421523145736,0.883957028388977,2.5764479618325744,0.9828828573226929,2.8247775134347153,0.3035164475440979,2.8333889735565663,0.23970234394073486,2.642301607239574,0.23710957169532776,2.7228931052841436,0.2515224814414978,2.7811266401552937,0.1110946536064148,2.7303734316069495,0.4817905128002167,2.789031634778628,0.6724903583526611,3.358627068973533,0.8065674304962158,2.648589945547201,0.5937948226928711,2.7383520940344375,0.1856977939605713,2.0278477724009036,2.3964169025421143,2.5718370792150784
I04,down,92,43.31886746046369,3.2333491205842,0.06494661354127626,3.1482712929653194,0.579146146774292,2.6471005316064913,0.420853853225708,0.7285435199737549,2.6794196397378416,0.8838256597518921,2.5764479618308957,0.9826444387435913,2.8244627289517164,0.3039133548736572,2.8334596354975474,0.2426491379737854,2.642304965260905,0.2380334734916687,2.7235137329616577,0.2524033486843109,2.7815450036130294,0.11126899719238281,2.7304417904247202,0.48216548562049866,2.789869048490851,0.6762179136276245,3.3636851228167686,0.8059664964675903,2.64852676747023,0.5928810834884644,2.7359406023730966,0.18596243858337402,2.0300980035434844,2.415862560272217,2.5728745449443187
I04,down,93,43.32208372141568,3.233420536745313,0.06494934101792181,3.1483266207419605,0.5785419940948486,2.6457600724315435,0.42145800590515137,0.7259745597839355,2.679411676233923,0.8839089870452881,2.5764479618319625,0.9824777245521545,2.8242422761800396,0.3041577935218811,2.8335028933081503,0.2414291501045227,2.6423036325728617,0.23704726994037628,2.7228508169328403,0.2516307830810547,2.781178555426017,0.1116558313369751,2.7305912383371833,0.48251089453697205,2.790636521168244,0.6741746664047241,3.360920903968779,0.8048306107521057,2.6484067026740377,0.5943312644958496,2.7397628493008126,0.1865251660346985,2.034858757847541,2.4181976318359375,2.5729955624021312
I04,down,94,43.32134668053151,3.233404172270297,0.06494871745955137,3.148313972963854,0.5783801078796387,2.6454004805317144,0.42161989212036133,0.7229290008544922,2.6794018617629325,0.8842315673828125,2.576447961836064,0.9824517965316772,2.8242079653859755,0.3043898940086365,2.833543785269285,0.2399011254310608,2.642301849055798,0.23808088898658752,2.723545258654441,0.2521805465221405,2.7814400187455153,0.11176347732543945,2.730632286204127,0.4827851355075836,2.7912432000372402,0.6776465773582458,3.365605953175443,0.8052434921264648,2.64845044279582,0.5950433611869812,2.7416298538836,0.18868964910507202,2.0528662948062553,2.3974862098693848,2.5718955308118407
I04,down,95,43.31418619945391,3.2332451480345954,0.0649426595092264,3.148191057673601,0.5789371728897095,2.646637144031251,0.4210628271102905,0.7211658954620361,2.6793959884513843,0.8845615386962891,2.576447961840226,0.9824371933937073,2.824188637934558,0.3049004077911377,2.8336331073394376,0.24194198846817017,2.642304202339915,0.23747916519641876,2.7231428323439446,0.2518661320209503,2.7812909078854187,0.11201262474060059,2.73072640228429,0.483458012342453,2.792721808820571,0.674957275390625,3.3619820443448063,0.8052992820739746,2.6484563445194453,0.5971872806549072,2.7472117819033546,0.1897527575492859,2.0615343432166195,2.4145607948303223,2.572806753167117
I04,down,96,43.299900714779035,3.2329276679626586,0.0649305791635566,3.1479457291991566,0.578834593296051,2.646409574575535,0.421165406703949,0.7321024537086487,2.6794302153043414,0.876147449016571,2.5764479617222564,0.982440710067749,2.824193292496798,0.30507510900497437,2.833663478870676,0.24293875694274902,2.6423052702987206,0.23856857419013977,2.723867685931095,0.25308966636657715,2.7818648930659746,0.11177581548690796,2.7306369761518,0.48337647318840027,2.792543380221556,0.6777070760726929,3.3656870772577925,0.8058860301971436,2.6485182898959465,0.5963122844696045,2.744940708153473,0.191398024559021,2.074720513528736,2.4383766651153564,2.5740106765703876
